Parameter,Value
m,"2"
E,"2000000000"
nu,"0.41"
I1,"2.5447e-10"
I2,"1.5904e-11"
J,"5.9875e-11"
A,"2.8274e-05"
kp,"16"
Ns0,"201"
nDivTheta0,"200"
absReg,"1e-10"
tanMargin,"1e-08"
tauSign,"1"
qBound,"6"
fdRelStepOmega,"1e-06"
fdRelStepQ,"1e-06"
nProbeEvery,"4"
dwellAfterB,"6"
G,"709219858.2"
EI1,"0.50894"
EI2,"0.031808"
GJ,"0.04246453901"
EA,"56548"
omega_min,"1.570796327"
omega_max,"4.71238898"
codeVersion,"2.0.0"
strainMeasure,"material: q = lambda*(kappa,tau) per reference arc length"
matlabRelease,"2025b"
timestamp,"2026-08-27 11:12:46"
elapsedSeconds,"4188.461824"
