Op,theta0,L0,omega,phi,ell,Oeq,Ub,Ut,Ua,Utotal,exitflag
1,1.5707963267949,0.098174770424681,1.5707963367949,1.57069632679516,0.0624999999798928,1.00000000033811,5.76278943472911e-10,1.07192257858698e-10,1.63344318325595e-15,6.83472834774792e-10,2
1.01,1.58650429006285,0.0991565181289278,1.5707963367949,1.57069632679516,0.0631235772478492,1.00000000033811,0.00252147832123529,1.42476949265726e-10,5.69654070769294e-06,0.00252717500441993,2
1.02,1.60221225333079,0.100138265833175,1.5707963367949,1.57069632679516,0.0637471824014759,1.00000000033811,0.00998790958489748,1.6645995564293e-10,2.21227194472208e-05,0.0100100324708047,2
1.03,1.61792021659874,0.101120013537421,1.5707963367949,1.57069632679516,0.064370814300622,1.00000000033811,0.0222565085105564,1.98531529398152e-10,4.83483248359521e-05,0.0223048570339239,2
1.04,1.63362817986669,0.102101761241668,1.5707963367949,1.57069632679516,0.0649944722868649,1.00000000033811,0.0391899140763695,2.33251762435873e-10,8.35105428304177e-05,0.0392734248524517,2
1.05,1.64933614313464,0.103083508945915,1.5707963367949,1.57069632679516,0.0656181555979087,1.00000000033811,0.0606559310405719,2.60996220593007e-10,0.000126813655363818,0.060782744956932,2
1.06,1.66504410640259,0.104065256650162,1.5707963367949,1.57069632679516,0.0662418635974624,1.00000000033811,0.0865272956073928,2.95660296162485e-10,0.000177518533734196,0.0867048144367873,2
1.07,1.68075206967054,0.105047004354409,1.5707963367949,1.57069632679516,0.066865595343633,1.00000000033811,0.116681430591073,3.23659831442383e-10,0.000234956304418641,0.116916387219152,2
1.08,1.69646003293849,0.106028752058656,1.5707963367949,1.57069632679516,0.0674893508073273,1.00000000033811,0.151000289210974,3.58186966185587e-10,0.000298465994724386,0.151298755563885,2
1.09,1.71216799620644,0.107010499762902,1.5707963367949,1.57069632679516,0.0681131287743361,1.00000000033811,0.189370049264371,3.8991517506974e-10,0.00036749382273618,0.189737543477022,2
1.1,1.72787595947439,0.107992247467149,1.57079667418966,1.57020692482324,0.0687369179211242,1.0000000117459,0.231680339892179,1.54055020510437e-09,0.000442175193896069,0.232122516626625,2
1.11,1.74358392274234,0.108973995171396,2.54159185333481,0.83331607337532,0.0656205696415077,1.0570894266948,0.186352892437081,0.0601476077251046,0.000212985867175956,0.246713486029361,2
1.12,1.75929188601028,0.109955742875643,2.68774171945776,0.812068813822367,0.0652770146474295,1.07223607478973,0.200907919561433,0.0766885394834837,0.00020163842633374,0.277798097471251,2
1.13,1.77499984927823,0.11093749057989,2.81202510028157,0.799226383004614,0.0649456396499078,1.08733982863783,0.214820662054532,0.093195193766894,0.000190130410202512,0.308205986231628,2
1.14,1.79070781254618,0.111919238284136,2.91949517029792,0.791615282920551,0.0646270641959565,1.10238079255503,0.228153808775508,0.109575681086317,0.000178668958588319,0.337908158820413,2
1.15,1.80641577581413,0.112900985988383,3.01367936393559,0.787448985578819,0.0643215269012081,1.1173447893313,0.240956174195101,0.125762501746965,0.00016739377723047,0.366886069719297,2
1.16,1.82212373908208,0.11388273369263,3.09713653054595,0.785645288163705,0.0640289966230253,1.13222200518287,0.253267631919099,0.141704887854966,0.000156412373885,0.39512893214795,2
1.17,1.83783170235003,0.114864481396877,3.17177627821165,0.785512062092044,0.0637492925953252,1.14700528336692,0.265119975703224,0.157366026468681,0.000145772081939841,0.422631774253845,2
1.18,1.85353966561798,0.115846229101124,3.23906235636452,0.786587590267086,0.0634820924142268,1.16169018821354,0.276538950892101,0.172719498038162,0.000135563529118305,0.449394012459382,2
1.19,1.86924762888593,0.11682797680537,3.30013489250623,0.788553349061786,0.0632270420691575,1.17627325156031,0.287548478705516,0.187744136285013,0.000125775205388403,0.475418390195918,2
1.2,1.88495559215388,0.117809724509617,3.3559025378275,0.791183617800413,0.0629837019452292,1.19075299552114,0.298166637908194,0.20242710333965,0.00011643774040658,0.50071017898825,2
1.21,1.90066355542182,0.118791472213864,3.40709571713183,0.794314686992653,0.0627516399249924,1.20512830234921,0.308410575045636,0.216758422084152,0.000107573604829133,0.525276570734617,2
1.22,1.91637151868977,0.119773219918111,3.45431285580689,0.797825722216696,0.0625303850534323,1.21939934443481,0.31829438437313,0.230732686478395,9.91401999043352e-05,0.549126211051429,2
1.23,1.93207948195772,0.120754967622358,3.49804633831126,0.801625906014,0.0623194949235185,1.23356623319354,0.327832374085986,0.244345277716049,9.11861933869146e-05,0.572268837995422,2
1.24,1.94778744522567,0.121736715326604,3.53870856261736,0.80564626269776,0.0621185080114679,1.24763002777691,0.3370356567947,0.25759566812747,8.36752848879429e-05,0.594715000207058,2
1.25,1.96349540849362,0.122718463030851,3.57664617434243,0.809833679280684,0.0619269834581785,1.26159190648242,0.345915443193443,0.270483811186434,7.65812489149671e-05,0.616475835628793,2
1.26,1.97920337176157,0.123700210735098,3.61215288926958,0.814146815943943,0.0617445026427422,1.27545307311329,0.354482405514058,0.283010557261462,6.99339902308546e-05,0.637562896765751,2
1.27,1.99491133502952,0.124681958439345,3.64548152134035,0.81855348150673,0.0615706310701868,1.28921559226689,0.362745274300392,0.295179034764983,6.3702974714159e-05,0.657988012040089,2
1.28,2.01061929829747,0.125663706143592,3.67684838473243,0.823028135692996,0.0614049789418218,1.30288109377323,0.370713305760476,0.306992016878745,5.78527999444403e-05,0.677763175439165,2
1.29,2.02632726156542,0.126645453847839,3.70644137581694,0.82755058008279,0.0612471610197161,1.31645153312135,0.378394741787033,0.31845332260054,5.23940599948372e-05,0.696900458447568,2
1.3,2.04203522483337,0.127627201552085,3.7344242038406,0.832104729186209,0.0610968102798482,1.3299289448212,0.38579753249187,0.32956711090349,4.72963618045821e-05,0.715411939757164,2
1.31,2.05774318810131,0.128608949256332,3.7609405620151,0.836677786464817,0.0609535681257677,1.34331557779165,0.392929326239231,0.34033776375112,4.25592157665052e-05,0.733309649206118,2
1.32,2.07345115136926,0.129590696960579,3.78611553275893,0.841259264920094,0.0608171269329815,1.35661297899921,0.399798106830978,0.350769265296964,3.81511039914283e-05,0.750605523231933,2
1.33,2.08915911463721,0.130572444664826,3.81006199997417,0.845841157608608,0.0606871366667065,1.36982398123229,0.406409764689973,0.360867537534205,3.40674480272575e-05,0.767311369672205,2
1.34,2.10486707790516,0.131554192369073,3.8328783667145,0.850416746212561,0.0605633095854014,1.38295039781016,0.412771430581771,0.370637118783465,3.02908308861263e-05,0.783438840196122,2
1.35,2.12057504117311,0.132535940073319,3.85465302224144,0.854980776625338,0.0604453546903332,1.39599444166167,0.4188894571298,0.380083149277714,2.68025895975902e-05,0.798999408997111,2
1.36,2.13628300444106,0.133517687777566,3.87546470990016,0.859528999893752,0.0603330034138262,1.40895811405882,0.424769960960968,0.389210802493163,2.35931744245943e-05,0.814004356628555,2
1.37,2.15199096770901,0.134499435481813,3.89538444669873,0.864058119400173,0.0602259913698502,1.42184361616928,0.430419049906747,0.398025058876411,2.06492749266779e-05,0.828464758058085,2
1.38,2.16769893097696,0.13548118318606,3.91447586363651,0.868565480603099,0.0601240759824602,1.43465291387966,0.435842771096578,0.406530744182775,1.79589208268794e-05,0.84239147420018,2
1.39,2.18340689424491,0.136462930890307,3.93279659620205,0.873049056162884,0.0600270223325804,1.44738805734999,0.441046618845875,0.414733022311739,1.55051295093365e-05,0.855795146287123,2
1.4,2.19911485751286,0.137444678594553,3.95039878367057,0.877507285978101,0.059934608534133,1.46005101868978,0.446035783260351,0.422637130003046,1.32793153222412e-05,0.868686192578719,2
1.41,2.2148228207808,0.1384264262988,3.96732976930816,0.881939005853657,0.0598466240523469,1.47264372750786,0.450815568471261,0.4302479678571,1.12706158385614e-05,0.8810748069442,2
1.42,2.23053078404875,0.139408174003047,3.98363241138807,0.886343312557556,0.0597628766696877,1.48516788209762,0.455391660536458,0.437569831575919,9.46687477451994e-06,0.892970958987152,2
1.43,2.2462387473167,0.140389921707294,3.99934622512642,0.890719685496125,0.0596831711170069,1.49762545541589,0.459768267070004,0.444608270794679,7.85751793592245e-06,0.90438439538262,2
1.44,2.26194671058465,0.141371669411541,4.01450700750532,0.895067728686266,0.0596073327964625,1.51001809354686,0.463950731038295,0.451367477446089,6.43370527301557e-06,0.915324642189657,2
1.45,2.2776546738526,0.142353417115788,4.02914784116056,0.899387310325313,0.0595351874957988,1.52234762251074,0.467943111204643,0.457852713834061,5.18287473311544e-06,0.925801007913437,2
1.46,2.29336263712055,0.143335164820034,4.0432987603844,0.903678343706437,0.0594665808572912,1.5346155146452,0.471750408433257,0.464068079613732,4.09912145747311e-06,0.935822587168446,2
1.47,2.3090706003885,0.144316912524281,4.05698772108673,0.907940965424169,0.0594013561333978,1.54682347327541,0.475376621021666,0.470018471499691,3.17223503692302e-06,0.945398264756394,2
1.48,2.32477856365645,0.145298660228528,4.07024034514732,0.912175366249545,0.0593393694523537,1.55897301349021,0.478826645093389,0.475707680722198,2.3942662600913e-06,0.954536720081848,2
1.49,2.3404865269244,0.146280407932775,4.08308022412902,0.916381796464913,0.0592804868878682,1.57106553000166,0.482103988984879,0.481140685452325,1.75734654618888e-06,0.963246431783751,2
1.5,2.35619449019234,0.147262155637022,4.09552942493331,0.920560655717455,0.0592245727069404,1.5831026007838,0.485212574447274,0.486321854427125,1.25363486800175e-06,0.971535682509266,2
1.51,2.37190245346029,0.148243903341268,4.10760803740488,0.92471227501295,0.0591715108939344,1.59508539776496,0.488156785034355,0.491254902542998,8.76195165972024e-07,0.97941256377252,2
1.52,2.38761041672824,0.149225651045515,4.11933489175125,0.928837093769419,0.0591211850132239,1.60701522812012,0.490940220991749,0.49594414289879,6.16954839166285e-07,0.986884980845377,2
1.53,2.40331837999619,0.150207398749762,4.13072780286247,0.932935699845408,0.0590734717483973,1.61889367967542,0.493565422312278,0.500394762850295,4.72430379957417e-07,0.993960657592953,2
1.54,2.41902634326414,0.151189146454009,4.14180304805437,0.937008596662583,0.0590282662520022,1.63072197055375,0.496037118295288,0.504609589447328,4.33641133356897e-07,1.00064714138375,2
1.55,2.43473430653209,0.152170894158256,4.1525755012502,0.941056194854532,0.0589854803546878,1.64250094127036,0.498358560220641,0.508592752331304,4.95227581458759e-07,1.00695180777953,2
1.56,2.45044226980004,0.153152641862502,4.16305949594871,0.945079093163915,0.0589450127716154,1.65423188812267,0.500532931737308,0.512348281771929,6.5174072733346e-07,1.01288186524996,2
