Op,theta0,L0,omega,phi,ell,Oeq,Ub,Ut,Ua,Utotal,exitflag
1,1.5707963267949,0.098174770424681,1.5707963367949,1.57069632679516,0.0624999999784836,1.00000000033811,2.61588699995915e-10,8.49884159716166e-11,8.1708543283425e-18,3.46577124138386e-10,1
1.1,1.72787595947439,0.107992247467149,1.5707963367949,1.57069632679516,0.068748061023796,1.00000000033811,0.0146144388364636,9.84496373122613e-11,4.12309141548044e-06,0.0146185620263287,2
1.2,1.88495559215388,0.117809724509617,1.5707963367949,1.57069632679516,0.0749964448587262,1.00000000033811,0.053591101440122,1.10753447329506e-10,1.27059571455253e-05,0.053603807508021,2
1.3,2.04203522483337,0.127627201552085,1.5707963367949,1.57069632679516,0.0812450772595728,1.00000000033811,0.111312399425946,1.183549276767e-10,2.24877898159836e-05,0.111334887334117,2
1.4,2.19911485751286,0.137444678594553,1.57079821000828,1.56942402543505,0.087493898411917,1.00000006367413,0.183764003368463,2.2018069741531e-08,3.2021811908492e-05,0.183796047198441,2
1.5,2.35619449019234,0.147262155637022,1.95338653945817,1.02232564552398,0.0922778662783669,1.01589025330038,0.261545347108384,0.00636535697670413,3.79632430674959e-05,0.267948667328156,2
1.6,2.51327412287183,0.15707963267949,3.52904856497917,0.804647876348218,0.08039748510217,1.24420720628313,0.250780598714133,0.0920094466528105,1.37912301422207e-05,0.342803836597086,2
1.7,2.67035375555132,0.166897109721958,3.98555967495507,0.886873060072943,0.0714996274164844,1.4866750887425,0.226873182065763,0.163821313646197,1.34330072834457e-06,0.390695839012689,2
1.8,2.82743338823081,0.176714586764426,4.20833768486483,0.963457270283813,0.0658827700200867,1.70812131452796,0.20659980995104,0.206999199499317,1.38375350916789e-06,0.413600393203867,2
1.9,2.9845130209103,0.186532063806894,4.3469821683085,1.03201795783772,0.0620980277168901,1.91271306869562,0.1902955698407,0.225710260637952,8.42856024564505e-06,0.416014259038898,2
2,3.14159265358979,0.196349540849362,4.44511956263607,1.09608635918411,0.0593687947534421,2.10581322983233,0.177313842724884,0.224276514242639,1.88827606262453e-05,0.401609239728149,2
2.1,3.29867228626928,0.20616701789183,4.51998712537275,1.15856750213022,0.0573043264992117,2.29068404005426,0.167286184893544,0.205962623463041,3.06517810087356e-05,0.373279460137593,2
2.2,3.45575191894877,0.215984494934298,4.57997507840118,1.22227331469363,0.0556854256167118,2.46948204923886,0.159987133843161,0.173300447995196,4.25376003858274e-05,0.333330119438743,2
2.3,3.61283155162826,0.225801971976766,4.62972927096118,1.29099214860889,0.0543794458394099,2.64370322875066,0.155270690431485,0.128290364201007,5.3877567469207e-05,0.283614932199962,2
2.4,3.76991118430775,0.235619449019234,4.67206019988012,1.37263833384277,0.053301540634942,2.81441437763592,0.153030540886133,0.0725440420522518,6.43420231992209e-05,0.225638924961584,2
2.5,3.92699081698724,0.245436926061703,4.70878444748379,1.51083060969504,0.0523949048513336,2.98239821031344,0.153178975193578,0.00738242086923515,7.37747540267343e-05,0.16063517081684,2
2.6,4.08407044966673,0.255254403104171,4.71238897038469,1.57069632679405,0.0541699477009063,2.99999995087554,0.0988944334485853,2.09552854579302e-08,4.493005016318e-05,0.0989393844540339,2
2.7,4.24115008234622,0.265071880146639,4.71238897038469,1.57069632679405,0.0562523699385459,2.99999995087554,0.0535713552169028,2.11187631576203e-08,2.25681684158475e-05,0.0535939445040818,2
2.8,4.39822971502571,0.274889357189107,4.71238897038469,1.57069632679405,0.0583348572722252,2.99999995087554,0.0229605093919052,2.11864368294982e-08,8.99406469358873e-06,0.0229695246430357,2
2.9,4.5553093477052,0.284706834231575,4.71238897038469,1.57069632679405,0.0604174029365048,2.99999995087554,0.00554248898650308,2.12009613885539e-08,2.02409825462764e-06,0.00554453428571909,2
3,4.71238898038469,0.294524311274043,4.71238897038469,1.57069632679405,0.0625000011347328,2.99999995087554,7.31984135952165e-09,2.11520701523581e-08,4.63950859868446e-14,2.84719579069657e-08,2
